['0.013', '0.013', '0.030', '0.013', '0.060', '0.000', '0.000', '170.09', '275.79']
['0.013', '0.013', '0.030', '0.013', '0.060', '0.000', '0.030', '262.97', '358.53']
['0.013', '0.013', '0.030', '0.013', '0.089', '0.000', '0.000', '154.72', '262.00']
['0.013', '0.013', '0.030', '0.013', '0.119', '0.000', '0.000', '82.39', '179.26']
['0.013', '0.013', '0.030', '0.013', '0.119', '0.000', '0.030', '35.92', '131.00']
['0.013', '0.013', '0.030', '0.013', '0.179', '0.000', '0.000', '55.50', '158.58']
['0.013', '0.013', '0.030', '0.013', '0.179', '0.000', '0.030', '36.96', '144.79']
['0.013', '0.013', '0.030', '0.013', '0.238', '0.000', '0.000', '55.16', '151.68']
['0.013', '0.013', '0.030', '0.013', '0.238', '0.000', '0.060', '47.30', '131.00']
['0.013', '0.013', '0.030', '0.013', '0.042', '0.042', '0.000', '244.90', '255.11']
['0.013', '0.013', '0.030', '0.013', '0.042', '0.042', '0.030', '254.62', '199.95']
['0.013', '0.013', '0.030', '0.013', '0.084', '0.084', '0.000', '153.48', '158.58']
['0.013', '0.013', '0.030', '0.013', '0.084', '0.084', '0.030', '235.87', '213.74']
['0.013', '0.013', '0.030', '0.013', '0.168', '0.168', '0.000', '76.26', '110.32']
['0.013', '0.013', '0.030', '0.013', '0.168', '0.168', '0.030', '43.16', '103.42']
