,Table. Test 3+4+6+7+8+10+11 RESULTS,,,,,,,,,,,,,,,,,
With Canopy,,,,,,,,,,,,,,,,,ndata,124
Data with only values,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Inputs,,,,,Outputs,,,
Test,Gage,"Charge weights
C4","Charge weights
TNT","Wall height
H","Canopy length
Lc","Range
R","Range
Rx","Range
Ry","Elevation
h",H/W1/3,Lc/W1/3,Rx/W1/3,Ry/W1/3,h/W1/3,"Peak Side-on 
Overpressure",Total impulse,,
No.,No.,(kg),(kg),(m),(m),(m),(m),(m),(m),(m/kg1/3),(m/kg1/3),(m/kg1/3),(m/kg1/3),(m/kg1/3),(kPa),(kPa-msec),,
,S4-1,3.629,4.097,0.6858,0.3048,2.743,1.940,1.940,0.000,0.056,0.025,0.158,0.158,0.000,129.55,124.11,,
,S4-2,3.629,4.097,0.6858,0.3048,2.743,1.940,1.940,0.686,0.056,0.025,0.158,0.158,0.056,188.99,144.79,,
,S8-1,3.629,4.097,0.6858,0.3048,5.486,3.879,3.879,0.000,0.056,0.025,0.316,0.316,0.000,47.71,68.95,,
,S8-2,3.629,4.097,0.6858,0.3048,5.486,3.879,3.879,0.686,0.056,0.025,0.316,0.316,0.056,26.89,68.95,,
6,F1-1,3.629,4.097,0.6858,0.3048,0.686,0.686,0.000,0.000,0.056,0.025,0.056,0.000,0.000,95.01,110.32,,
,F1-2,3.629,4.097,0.6858,0.3048,0.686,0.686,0.000,0.686,0.056,0.025,0.056,0.000,0.056,125.28,144.79,,
,F2-1,3.629,4.097,0.6858,0.3048,1.372,1.372,0.000,0.000,0.056,0.025,0.112,0.000,0.000,106.52,234.42,,
,F2-2,3.629,4.097,0.6858,0.3048,1.372,1.372,0.000,0.686,0.056,0.025,0.112,0.000,0.056,55.30,179.26,,
,F3-1,3.629,4.097,0.6858,0.3048,2.057,2.057,0.000,0.000,0.056,0.025,0.167,0.000,0.000,108.04,220.63,,
,F3-2,3.629,4.097,0.6858,0.3048,2.057,2.057,0.000,0.686,0.056,0.025,0.167,0.000,0.056,72.88,199.95,,
,F4-1,3.629,4.097,0.6858,0.3048,2.743,2.743,0.000,0.000,0.056,0.025,0.223,0.000,0.000,97.22,151.68,,
,F4-2,3.629,4.097,0.6858,0.3048,2.743,2.743,0.000,0.686,0.056,0.025,0.223,0.000,0.056,49.09,103.42,,
,F6-1,3.629,4.097,0.6858,0.3048,4.115,4.115,0.000,0.000,0.056,0.025,0.335,0.000,0.000,57.98,117.21,,
,F6-2,3.629,4.097,0.6858,0.3048,4.115,4.115,0.000,0.686,0.056,0.025,0.335,0.000,0.056,40.75,110.32,,
,F8-1,3.629,4.097,0.6858,0.3048,5.486,5.486,0.000,0.000,0.056,0.025,0.446,0.000,0.000,44.95,103.42,,
,F8-2,3.629,4.097,0.6858,0.3048,5.486,5.486,0.000,1.372,0.056,0.025,0.446,0.000,0.112,46.54,103.42,,
,S2-1,3.629,4.097,0.6858,0.3048,1.372,0.970,0.970,0.000,0.056,0.025,0.079,0.079,0.000,110.04,199.95,,
,S2-2,3.629,4.097,0.6858,0.3048,1.372,0.970,0.970,0.686,0.056,0.025,0.079,0.079,0.056,123.62,186.16,,
,S4-1,3.629,4.097,0.6858,0.3048,2.743,1.940,1.940,0.000,0.056,0.025,0.158,0.158,0.000,112.38,124.11,,
,S4-2,3.629,4.097,0.6858,0.3048,2.743,1.940,1.940,0.686,0.056,0.025,0.158,0.158,0.056,165.06,151.68,,
,S8-1,3.629,4.097,0.6858,0.3048,5.486,3.879,3.879,0.000,0.056,0.025,0.316,0.316,0.000,45.23,75.84,,
,S8-2,3.629,4.097,0.6858,0.3048,5.486,3.879,3.879,0.686,0.056,0.025,0.316,0.316,0.056,26.89,75.84,,
7,F1-1,3.629,4.097,0.6858,0.4572,0.686,0.686,0.000,0.000,0.056,0.037,0.056,0.000,0.000,89.15,179.26,,
,F1-2,3.629,4.097,0.6858,0.4572,0.686,0.686,0.000,0.686,0.056,0.037,0.056,0.000,0.056,86.94,172.37,,
,F2-1,3.629,4.097,0.6858,0.4572,1.372,1.372,0.000,0.000,0.056,0.037,0.112,0.000,0.000,73.08,186.16,,
,F2-2,3.629,4.097,0.6858,0.4572,1.372,1.372,0.000,0.686,0.056,0.037,0.112,0.000,0.056,48.13,158.58,,
,F3-1,3.629,4.097,0.6858,0.4572,2.057,2.057,0.000,0.000,0.056,0.037,0.167,0.000,0.000,66.47,179.26,,
,F3-2,3.629,4.097,0.6858,0.4572,2.057,2.057,0.000,0.686,0.056,0.037,0.167,0.000,0.056,56.05,172.37,,
,F4-1,3.629,4.097,0.6858,0.4572,2.743,2.743,0.000,0.000,0.056,0.037,0.223,0.000,0.000,57.78,131.00,,
,F4-2,3.629,4.097,0.6858,0.4572,2.743,2.743,0.000,0.686,0.056,0.037,0.223,0.000,0.056,35.37,89.63,,
,F6-1,3.629,4.097,0.6858,0.4572,4.115,4.115,0.000,0.000,0.056,0.037,0.335,0.000,0.000,52.19,103.42,,
,F6-2,3.629,4.097,0.6858,0.4572,4.115,4.115,0.000,0.686,0.056,0.037,0.335,0.000,0.056,33.65,96.53,,
,F8-1,3.629,4.097,0.6858,0.4572,5.486,5.486,0.000,0.000,0.056,0.037,0.446,0.000,0.000,52.12,89.63,,
,F8-2,3.629,4.097,0.6858,0.4572,5.486,5.486,0.000,1.372,0.056,0.037,0.446,0.000,0.112,34.96,89.63,,
,S2-1,3.629,4.097,0.6858,0.4572,1.372,0.970,0.970,0.000,0.056,0.037,0.079,0.079,0.000,96.46,172.37,,
,S2-2,3.629,4.097,0.6858,0.4572,1.372,0.970,0.970,0.686,0.056,0.037,0.079,0.079,0.056,74.46,165.47,,
,S4-1,3.629,4.097,0.6858,0.4572,2.743,1.940,1.940,0.000,0.056,0.037,0.158,0.158,0.000,91.22,103.42,,
,S4-2,3.629,4.097,0.6858,0.4572,2.743,1.940,1.940,0.686,0.056,0.037,0.158,0.158,0.056,111.56,124.11,,
,S8-1,3.629,4.097,0.6858,0.4572,5.486,3.879,3.879,0.000,0.056,0.037,0.316,0.316,0.000,38.75,68.95,,
,S8-2,3.629,4.097,0.6858,0.4572,5.486,3.879,3.879,0.686,0.056,0.037,0.316,0.316,0.056,26.61,68.95,,
9,F1-1,6.804,7.682,0.6858,0.3048,0.686,0.686,0.000,0.000,0.030,0.013,0.030,0.000,0.000,228.49,220.63,,
,F1-2,6.804,7.682,0.6858,0.3048,0.686,0.686,0.000,0.686,0.030,0.013,0.030,0.000,0.030,256.14,517.11,,
