Ladungsmenge Q,Abstand R,einfallender Spitzenüberdruck Pso,reflektierter Spitzenüberdruck Pr,einfallender Impuls is,reflektierter Impuls ir,Schockwellengeschwindigkeit u,Ankunftszeit ta,Dauer der Druckphase td,einfallender Spitzenüberdruck Pso,reflektierter Spitzenüberdruck Pr,einfallender Impuls is,reflektierter Impuls ir,Schockwellengeschwindigkeit u,Ankunftszeit ta,Dauer der Druckphase td
2,5.7,37.23073778,85.12984917,56.10004231,117.1087814,390.0429788,9.753417914,4.048102657,51.61061636,123.6864765,81.58131873,176.8465621,408.0872802,8.886283738,4.575092654
2,5.8,36.10540832,82.21732861,55.21465165,114.8953498,388.6445711,10.01465791,4.074402315,50.0101095,119.2307126,80.33900395,173.442456,406.1288698,9.133894477,4.609835788
2,5.9,35.03961909,79.47944596,54.35656399,112.7632837,387.3166166,10.27687205,4.100275595,48.49546375,115.0509897,79.13407226,170.1653777,404.2661742,9.382710192,4.643562383
2,6,34.02912235,76.90222142,53.52453976,110.7082033,386.0543066,10.54000646,4.125744494,47.06044836,111.1245034,77.96471815,167.0084142,402.4929823,9.632674784,4.676338085
2,6.1,33.0700422,74.47303327,52.7174154,108.7260353,384.85322,10.80400991,4.150828401,45.6993883,107.4307293,76.8292633,163.9651409,400.8035752,9.88373473,4.708223673
2,6.2,32.15883647,72.18046465,51.93409731,106.8129876,383.7092877,11.06883361,4.175544464,44.40710633,103.9511597,75.72614496,161.0295801,399.1926812,10.13583899,4.739275436
2,6.3,31.29226297,70.01416983,51.17355633,104.9655249,382.6187611,11.33443119,4.199907909,43.17887187,100.6690738,74.6539056,158.1961624,397.6554349,10.38893889,4.76954552
2,6.4,30.46734971,67.96475731,50.43482281,103.1803476,381.5781838,11.60075853,4.223932315,42.01035589,97.56933885,73.61118363,155.4596929,396.1873409,10.64298806,4.799082243
2,6.5,29.68136841,66.02368733,49.71698211,101.4543726,380.5843659,11.8677737,4.247629848,40.89759092,94.6382344,72.59670509,152.8153207,394.7842409,10.89794233,4.827930395
2,6.6,28.93181106,64.18318188,49.01917058,99.78471613,379.6343609,12.13543686,4.271011457,39.83693563,91.86329995,71.60927622,150.2585107,393.4422845,11.15375961,4.856131505
2,6.7,28.21636897,62.43614544,48.34057192,98.16867756,378.7254448,12.40371016,4.294087051,38.82504336,89.23320041,70.64777679,147.7850184,392.1579024,11.41039986,4.883724094
